1 | H | Hydrogen | 1.008 | OTHER_NONMETALS | GAS | 14.01 | 20.28 | 2.2 | 0.0899
2 | He | Helium | 4.0026 | NOBLE_GASES | GAS | 0.0 | 4.22 | 0.0 | 0.1785
3 | Li | Lithium | 6.94 | ALKALI_METALS | SOLID | 453.7 | 1615.0 | 0.98 | 535.0
4 | Be | Beryllium | 9.0122 | ALKALINE_EARTH_METALS | SOLID | 1560.0 | 2743.0 | 1.57 | 1848.0
5 | B | Boron | 10.81 | METALLOIDS | SOLID | 2348.0 | 4273.0 | 2.04 | 2460.0
6 | C | Carbon | 12.011 | OTHER_NONMETALS | SOLID | 3823.0 | 4300.0 | 2.55 | 2260.0
7 | N | Nitrogen | 14.007 | OTHER_NONMETALS | GAS | 63.05 | 77.36 | 3.04 | 1.251
8 | O | Oxygen | 15.999 | OTHER_NONMETALS | GAS | 54.8 | 90.2 | 3.44 | 1.429
9 | F | Fluorine | 18.9984 | HALOGENS | GAS | 53.5 | 85.03 | 3.98 | 1.696
10 | Ne | Neon | 20.1797 | NOBLE_GASES | GAS | 24.56 | 27.07 | 0.0 | 0.9
11 | Na | Sodium | 22.9897 | ALKALI_METALS | SOLID | 370.87 | 1156.0 | 0.93 | 968.0
12 | Mg | Magnesium | 24.305 | ALKALINE_EARTH_METALS | SOLID | 923.0 | 1363.0 | 1.31 | 1738.0
13 | Al | Aluminium | 26.9815 | POST_TRANSITION_METALS | SOLID | 933.47 | 2792.0 | 1.61 | 2700.0
14 | Si | Silicon | 28.085 | METALLOIDS | SOLID | 1687.0 | 3173.0 | 1.9 | 2330.0
15 | P | Phosphorus | 30.9737 | OTHER_NONMETALS | SOLID | 317.3 | 553.6 | 2.19 | 1823.0
16 | S | Sulfur | 32.06 | OTHER_NONMETALS | SOLID | 388.36 | 717.87 | 2.58 | 1960.0
17 | Cl | Chlorine | 35.45 | HALOGENS | GAS | 171.6 | 239.11 | 3.16 | 3.214
18 | Ar | Argon | 39.948 | NOBLE_GASES | GAS | 83.8 | 87.3 | 0.0 | 1.784
19 | K | Potassium | 39.0983 | ALKALI_METALS | SOLID | 336.53 | 1032.0 | 0.82 | 856.0
20 | Ca | Calcium | 40.078 | ALKALINE_EARTH_METALS | SOLID | 1115.0 | 1757.0 | 1.0 | 1550.0
21 | Sc | Scandium | 44.9559 | TRANSITION_METALS | SOLID | 1814.0 | 3103.0 | 1.36 | 2985.0
22 | Ti | Titanium | 47.867 | TRANSITION_METALS | SOLID | 1941.0 | 3560.0 | 1.54 | 4507.0
